subtask_id,backlog_id,phase,priority,workstream,owner,summary,sprint,due_date,status
P0-001-A,P0-001,PLAN,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Neo4j is unavailable.",Sprint-1,2026-02-27,todo
P0-001-B,P0-001,BUILD,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Neo4j is unavailable.",Sprint-2,2026-03-13,todo
P0-001-C,P0-001,VERIFY,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Neo4j is unavailable.",Sprint-3,2026-03-27,todo
P0-002-A,P0-002,PLAN,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Kafka is unavailable for required flows.",Sprint-1,2026-02-27,todo
P0-002-B,P0-002,BUILD,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Kafka is unavailable for required flows.",Sprint-2,2026-03-13,todo
P0-002-C,P0-002,VERIFY,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Kafka is unavailable for required flows.",Sprint-3,2026-03-27,todo
P0-003-A,P0-003,PLAN,P0,"WS-01 Platform reliability","CTO + CISO","Remove ""mock_mode treated as connected"" semantics from production posture checks.",Sprint-1,2026-02-27,todo
P0-003-B,P0-003,BUILD,P0,"WS-01 Platform reliability","CTO + CISO","Remove ""mock_mode treated as connected"" semantics from production posture checks.",Sprint-2,2026-03-13,todo
P0-003-C,P0-003,VERIFY,P0,"WS-01 Platform reliability","CTO + CISO","Remove ""mock_mode treated as connected"" semantics from production posture checks.",Sprint-3,2026-03-27,todo
P0-004-A,P0-004,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Surface `dependency_state` in all clinical query responses.",Sprint-1,2026-02-27,todo
P0-004-B,P0-004,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Surface `dependency_state` in all clinical query responses.",Sprint-2,2026-03-13,todo
P0-004-C,P0-004,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Surface `dependency_state` in all clinical query responses.",Sprint-3,2026-03-27,todo
P0-005-A,P0-005,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI","Block graph build when ingestion has note-level extraction failures.",Sprint-1,2026-02-27,todo
P0-005-B,P0-005,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI","Block graph build when ingestion has note-level extraction failures.",Sprint-2,2026-03-13,todo
P0-005-C,P0-005,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI","Block graph build when ingestion has note-level extraction failures.",Sprint-3,2026-03-27,todo
P0-006-A,P0-006,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI","Propagate extraction status (`ok|partial|failed`) across import, KG build, and Q&A.",Sprint-1,2026-02-27,todo
P0-006-B,P0-006,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI","Propagate extraction status (`ok|partial|failed`) across import, KG build, and Q&A.",Sprint-2,2026-03-13,todo
P0-006-C,P0-006,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI","Propagate extraction status (`ok|partial|failed`) across import, KG build, and Q&A.",Sprint-3,2026-03-27,todo
P0-007-A,P0-007,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI + CISO","Enforce strict narrative grounding prior to KG writes.",Sprint-1,2026-02-27,todo
P0-007-B,P0-007,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI + CISO","Enforce strict narrative grounding prior to KG writes.",Sprint-2,2026-03-13,todo
P0-007-C,P0-007,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI + CISO","Enforce strict narrative grounding prior to KG writes.",Sprint-3,2026-03-27,todo
P0-008-A,P0-008,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Disable hardcoded ontology edge fallback in production pathways.",Sprint-1,2026-02-27,todo
P0-008-B,P0-008,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Disable hardcoded ontology edge fallback in production pathways.",Sprint-2,2026-03-13,todo
P0-008-C,P0-008,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Disable hardcoded ontology edge fallback in production pathways.",Sprint-3,2026-03-27,todo
P0-009-A,P0-009,PLAN,P0,"WS-02 Security compliance","CISO","Enforce authentication by default in non-dev environments.",Sprint-1,2026-02-27,todo
P0-009-B,P0-009,BUILD,P0,"WS-02 Security compliance","CISO","Enforce authentication by default in non-dev environments.",Sprint-2,2026-03-13,todo
P0-009-C,P0-009,VERIFY,P0,"WS-02 Security compliance","CISO","Enforce authentication by default in non-dev environments.",Sprint-3,2026-03-27,todo
P0-010-A,P0-010,PLAN,P0,"WS-02 Security compliance","CISO + Platform","Remove insecure credential defaults from deployment templates.",Sprint-1,2026-02-27,todo
P0-010-B,P0-010,BUILD,P0,"WS-02 Security compliance","CISO + Platform","Remove insecure credential defaults from deployment templates.",Sprint-2,2026-03-13,todo
P0-010-C,P0-010,VERIFY,P0,"WS-02 Security compliance","CISO + Platform","Remove insecure credential defaults from deployment templates.",Sprint-3,2026-03-27,todo
P0-011-A,P0-011,PLAN,P0,"WS-02 Security compliance","CISO + Ops","Require Redis authentication and restricted network exposure.",Sprint-1,2026-02-27,todo
P0-011-B,P0-011,BUILD,P0,"WS-02 Security compliance","CISO + Ops","Require Redis authentication and restricted network exposure.",Sprint-2,2026-03-13,todo
P0-011-C,P0-011,VERIFY,P0,"WS-02 Security compliance","CISO + Ops","Require Redis authentication and restricted network exposure.",Sprint-3,2026-03-27,todo
P0-012-A,P0-012,PLAN,P0,"WS-02 Security compliance","CISO + Platform","Enforce encryption-at-rest for PHI stores.",Sprint-1,2026-02-27,todo
P0-012-B,P0-012,BUILD,P0,"WS-02 Security compliance","CISO + Platform","Enforce encryption-at-rest for PHI stores.",Sprint-2,2026-03-13,todo
P0-012-C,P0-012,VERIFY,P0,"WS-02 Security compliance","CISO + Platform","Enforce encryption-at-rest for PHI stores.",Sprint-3,2026-03-27,todo
P0-013-A,P0-013,PLAN,P0,"WS-02 Security compliance","CISO + Ops","Enforce TLS for ingress and service links handling PHI.",Sprint-1,2026-02-27,todo
P0-013-B,P0-013,BUILD,P0,"WS-02 Security compliance","CISO + Ops","Enforce TLS for ingress and service links handling PHI.",Sprint-2,2026-03-13,todo
P0-013-C,P0-013,VERIFY,P0,"WS-02 Security compliance","CISO + Ops","Enforce TLS for ingress and service links handling PHI.",Sprint-3,2026-03-27,todo
P0-014-A,P0-014,PLAN,P0,"WS-02 Security compliance","CISO + Ops","Add audit coverage for worker-based PHI operations.",Sprint-1,2026-02-27,todo
P0-014-B,P0-014,BUILD,P0,"WS-02 Security compliance","CISO + Ops","Add audit coverage for worker-based PHI operations.",Sprint-2,2026-03-13,todo
P0-014-C,P0-014,VERIFY,P0,"WS-02 Security compliance","CISO + Ops","Add audit coverage for worker-based PHI operations.",Sprint-3,2026-03-27,todo
P0-015-A,P0-015,PLAN,P0,"WS-02 Security compliance","CISO + Clinical AI","Add audit tags for graph data access and query provenance.",Sprint-1,2026-02-27,todo
P0-015-B,P0-015,BUILD,P0,"WS-02 Security compliance","CISO + Clinical AI","Add audit tags for graph data access and query provenance.",Sprint-2,2026-03-13,todo
P0-015-C,P0-015,VERIFY,P0,"WS-02 Security compliance","CISO + Clinical AI","Add audit tags for graph data access and query provenance.",Sprint-3,2026-03-27,todo
P0-016-A,P0-016,PLAN,P0,"WS-02 Security compliance","CISO + Platform","Enforce tenant/org boundary checks at query boundaries.",Sprint-1,2026-02-27,todo
P0-016-B,P0-016,BUILD,P0,"WS-02 Security compliance","CISO + Platform","Enforce tenant/org boundary checks at query boundaries.",Sprint-2,2026-03-13,todo
P0-016-C,P0-016,VERIFY,P0,"WS-02 Security compliance","CISO + Platform","Enforce tenant/org boundary checks at query boundaries.",Sprint-3,2026-03-27,todo
P0-017-A,P0-017,PLAN,P0,"WS-02 Security compliance","CISO + Clinical AI","Add explicit policy gate for external model routes handling PHI.",Sprint-1,2026-02-27,todo
P0-017-B,P0-017,BUILD,P0,"WS-02 Security compliance","CISO + Clinical AI","Add explicit policy gate for external model routes handling PHI.",Sprint-2,2026-03-13,todo
P0-017-C,P0-017,VERIFY,P0,"WS-02 Security compliance","CISO + Clinical AI","Add explicit policy gate for external model routes handling PHI.",Sprint-3,2026-03-27,todo
P0-018-A,P0-018,PLAN,P0,"WS-05 OpenEHR interoperability","CIO + CTO","Publish and approve canonical Meditech-to-OpenEHR mapping contract.",Sprint-1,2026-02-27,todo
P0-018-B,P0-018,BUILD,P0,"WS-05 OpenEHR interoperability","CIO + CTO","Publish and approve canonical Meditech-to-OpenEHR mapping contract.",Sprint-3,2026-03-27,todo
P0-018-C,P0-018,VERIFY,P0,"WS-05 OpenEHR interoperability","CIO + CTO","Publish and approve canonical Meditech-to-OpenEHR mapping contract.",Sprint-3,2026-03-27,todo
P0-019-A,P0-019,PLAN,P0,"WS-05 OpenEHR interoperability","CIO + Ops","Add OpenEHR reconciliation and rollback procedure before live onboarding.",Sprint-1,2026-02-27,todo
P0-019-B,P0-019,BUILD,P0,"WS-05 OpenEHR interoperability","CIO + Ops","Add OpenEHR reconciliation and rollback procedure before live onboarding.",Sprint-3,2026-03-27,todo
P0-019-C,P0-019,VERIFY,P0,"WS-05 OpenEHR interoperability","CIO + Ops","Add OpenEHR reconciliation and rollback procedure before live onboarding.",Sprint-3,2026-03-27,todo
P0-020-A,P0-020,PLAN,P0,"WS-01 Platform reliability","CTO + VP Product","Define one canonical ingestion-to-Q&A route for pilot users.",Sprint-1,2026-02-27,todo
P0-020-B,P0-020,BUILD,P0,"WS-01 Platform reliability","CTO + VP Product","Define one canonical ingestion-to-Q&A route for pilot users.",Sprint-3,2026-03-27,todo
P0-020-C,P0-020,VERIFY,P0,"WS-01 Platform reliability","CTO + VP Product","Define one canonical ingestion-to-Q&A route for pilot users.",Sprint-3,2026-03-27,todo
P0-021-A,P0-021,PLAN,P0,"WS-04 Product trust UX","VP Product + Clinical AI","Enforce confidence-to-action policy for high-risk workflows.",Sprint-1,2026-02-27,todo
P0-021-B,P0-021,BUILD,P0,"WS-04 Product trust UX","VP Product + Clinical AI","Enforce confidence-to-action policy for high-risk workflows.",Sprint-3,2026-03-27,todo
P0-021-C,P0-021,VERIFY,P0,"WS-04 Product trust UX","VP Product + Clinical AI","Enforce confidence-to-action policy for high-risk workflows.",Sprint-3,2026-03-27,todo
P0-022-A,P0-022,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI","Require evidence-bound confidence and decline behavior on unsupported claims.",Sprint-1,2026-02-27,todo
P0-022-B,P0-022,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI","Require evidence-bound confidence and decline behavior on unsupported claims.",Sprint-3,2026-03-27,todo
P0-022-C,P0-022,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI","Require evidence-bound confidence and decline behavior on unsupported claims.",Sprint-3,2026-03-27,todo
P0-023-A,P0-023,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI + Product","Require source document IDs and provenance fields for every non-empty answer.",Sprint-1,2026-02-27,todo
P0-023-B,P0-023,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI + Product","Require source document IDs and provenance fields for every non-empty answer.",Sprint-3,2026-03-27,todo
P0-023-C,P0-023,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI + Product","Require source document IDs and provenance fields for every non-empty answer.",Sprint-3,2026-03-27,todo
P0-024-A,P0-024,PLAN,P0,"WS-04 Product trust UX","VP Product","Add explicit ""degraded"" UX mode with action block and clinician escalation.",Sprint-1,2026-02-27,todo
P0-024-B,P0-024,BUILD,P0,"WS-04 Product trust UX","VP Product","Add explicit ""degraded"" UX mode with action block and clinician escalation.",Sprint-3,2026-03-27,todo
P0-024-C,P0-024,VERIFY,P0,"WS-04 Product trust UX","VP Product","Add explicit ""degraded"" UX mode with action block and clinician escalation.",Sprint-3,2026-03-27,todo
P0-025-A,P0-025,PLAN,P0,"WS-06 SRE operations","CIO + Ops","Define and staff incident escalation matrix with response SLAs.",Sprint-1,2026-02-27,todo
P0-025-B,P0-025,BUILD,P0,"WS-06 SRE operations","CIO + Ops","Define and staff incident escalation matrix with response SLAs.",Sprint-3,2026-03-27,todo
P0-025-C,P0-025,VERIFY,P0,"WS-06 SRE operations","CIO + Ops","Define and staff incident escalation matrix with response SLAs.",Sprint-3,2026-03-27,todo
P0-026-A,P0-026,PLAN,P0,"WS-06 SRE operations","Ops","Execute one backup restore drill for PostgreSQL and Neo4j.",Sprint-1,2026-02-27,todo
P0-026-B,P0-026,BUILD,P0,"WS-06 SRE operations","Ops","Execute one backup restore drill for PostgreSQL and Neo4j.",Sprint-3,2026-03-27,todo
P0-026-C,P0-026,VERIFY,P0,"WS-06 SRE operations","Ops","Execute one backup restore drill for PostgreSQL and Neo4j.",Sprint-3,2026-03-27,todo
P0-027-A,P0-027,PLAN,P0,"WS-06 SRE operations","Ops + CTO","Execute one failover/dependency outage simulation and record MTTR.",Sprint-1,2026-02-27,todo
P0-027-B,P0-027,BUILD,P0,"WS-06 SRE operations","Ops + CTO","Execute one failover/dependency outage simulation and record MTTR.",Sprint-3,2026-03-27,todo
P0-027-C,P0-027,VERIFY,P0,"WS-06 SRE operations","Ops + CTO","Execute one failover/dependency outage simulation and record MTTR.",Sprint-3,2026-03-27,todo
P0-028-A,P0-028,PLAN,P0,"WS-08 Program governance","Program Lead","Produce final pre-pilot signoff matrix (CTO/CISO/CIO/Clinical AI/Product/Ops).",Sprint-1,2026-02-27,todo
P0-028-B,P0-028,BUILD,P0,"WS-08 Program governance","Program Lead","Produce final pre-pilot signoff matrix (CTO/CISO/CIO/Clinical AI/Product/Ops).",Sprint-3,2026-03-27,todo
P0-028-C,P0-028,VERIFY,P0,"WS-08 Program governance","Program Lead","Produce final pre-pilot signoff matrix (CTO/CISO/CIO/Clinical AI/Product/Ops).",Sprint-3,2026-03-27,todo
P1-001-A,P1-001,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI","Replace heuristic confidence assembly with tiered evidence-weighted scoring.",Sprint-4,2026-04-10,todo
P1-001-B,P1-001,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI","Replace heuristic confidence assembly with tiered evidence-weighted scoring.",Sprint-4,2026-04-10,todo
P1-001-C,P1-001,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI","Replace heuristic confidence assembly with tiered evidence-weighted scoring.",Sprint-5,2026-04-24,todo
P1-002-A,P1-002,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI + Product","Standardize confidence semantics across extraction, KG, reasoning, and final answer.",Sprint-4,2026-04-10,todo
P1-002-B,P1-002,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI + Product","Standardize confidence semantics across extraction, KG, reasoning, and final answer.",Sprint-4,2026-04-10,todo
P1-002-C,P1-002,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI + Product","Standardize confidence semantics across extraction, KG, reasoning, and final answer.",Sprint-5,2026-04-24,todo
P1-003-A,P1-003,PLAN,P1,"WS-03 Clinical AI safety","Product + Clinical AI","Add confidence threshold policy object configurable by workflow type.",Sprint-4,2026-04-10,todo
P1-003-B,P1-003,BUILD,P1,"WS-03 Clinical AI safety","Product + Clinical AI","Add confidence threshold policy object configurable by workflow type.",Sprint-4,2026-04-10,todo
P1-003-C,P1-003,VERIFY,P1,"WS-03 Clinical AI safety","Product + Clinical AI","Add confidence threshold policy object configurable by workflow type.",Sprint-5,2026-04-24,todo
P1-004-A,P1-004,PLAN,P1,"WS-03 Clinical AI safety","Product + Clinical AI","Implement refusal mode for critical errors and low-confidence clinical paths.",Sprint-4,2026-04-10,todo
P1-004-B,P1-004,BUILD,P1,"WS-03 Clinical AI safety","Product + Clinical AI","Implement refusal mode for critical errors and low-confidence clinical paths.",Sprint-4,2026-04-10,todo
P1-004-C,P1-004,VERIFY,P1,"WS-03 Clinical AI safety","Product + Clinical AI","Implement refusal mode for critical errors and low-confidence clinical paths.",Sprint-5,2026-04-24,todo
P1-005-A,P1-005,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI","Add missing note and coverage metrics to all query payloads.",Sprint-4,2026-04-10,todo
P1-005-B,P1-005,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI","Add missing note and coverage metrics to all query payloads.",Sprint-4,2026-04-10,todo
P1-005-C,P1-005,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI","Add missing note and coverage metrics to all query payloads.",Sprint-5,2026-04-24,todo
P1-006-A,P1-006,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI + Ops","Attach data freshness and ingestion timestamp to Q&A responses.",Sprint-4,2026-04-10,todo
P1-006-B,P1-006,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI + Ops","Attach data freshness and ingestion timestamp to Q&A responses.",Sprint-4,2026-04-10,todo
P1-006-C,P1-006,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI + Ops","Attach data freshness and ingestion timestamp to Q&A responses.",Sprint-5,2026-04-24,todo
P1-007-A,P1-007,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI","Add provenance integrity checks in KG merge stage for near-match entities.",Sprint-4,2026-04-10,todo
P1-007-B,P1-007,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI","Add provenance integrity checks in KG merge stage for near-match entities.",Sprint-4,2026-04-10,todo
P1-007-C,P1-007,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI","Add provenance integrity checks in KG merge stage for near-match entities.",Sprint-5,2026-04-24,todo
P1-008-A,P1-008,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI","Harden OMOP fallback matching to reduce semantic false positives.",Sprint-4,2026-04-10,todo
P1-008-B,P1-008,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI","Harden OMOP fallback matching to reduce semantic false positives.",Sprint-4,2026-04-10,todo
P1-008-C,P1-008,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI","Harden OMOP fallback matching to reduce semantic false positives.",Sprint-5,2026-04-24,todo
P1-009-A,P1-009,PLAN,P1,"WS-03 Clinical AI safety","CTO + Clinical AI","Add bounded cache and invalidation on OMOP version change.",Sprint-4,2026-04-10,todo
P1-009-B,P1-009,BUILD,P1,"WS-03 Clinical AI safety","CTO + Clinical AI","Add bounded cache and invalidation on OMOP version change.",Sprint-4,2026-04-10,todo
P1-009-C,P1-009,VERIFY,P1,"WS-03 Clinical AI safety","CTO + Clinical AI","Add bounded cache and invalidation on OMOP version change.",Sprint-5,2026-04-24,todo
P1-010-A,P1-010,PLAN,P1,"WS-03 Clinical AI safety","QA + Clinical AI","Create UMLS/OMOP acceptance corpus with positive and negative concept pairs.",Sprint-4,2026-04-10,todo
P1-010-B,P1-010,BUILD,P1,"WS-03 Clinical AI safety","QA + Clinical AI","Create UMLS/OMOP acceptance corpus with positive and negative concept pairs.",Sprint-4,2026-04-10,todo
P1-010-C,P1-010,VERIFY,P1,"WS-03 Clinical AI safety","QA + Clinical AI","Create UMLS/OMOP acceptance corpus with positive and negative concept pairs.",Sprint-5,2026-04-24,todo
P1-011-A,P1-011,PLAN,P1,"WS-03 Clinical AI safety","CTO + Clinical AI","Add real-source document retrieval in GraphRAG path (remove placeholder behavior).",Sprint-4,2026-04-10,todo
P1-011-B,P1-011,BUILD,P1,"WS-03 Clinical AI safety","CTO + Clinical AI","Add real-source document retrieval in GraphRAG path (remove placeholder behavior).",Sprint-4,2026-04-10,todo
P1-011-C,P1-011,VERIFY,P1,"WS-03 Clinical AI safety","CTO + Clinical AI","Add real-source document retrieval in GraphRAG path (remove placeholder behavior).",Sprint-5,2026-04-24,todo
P1-012-A,P1-012,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI + Compliance","Add guideline corpus versioning, expiration, and update policy.",Sprint-4,2026-04-10,todo
P1-012-B,P1-012,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI + Compliance","Add guideline corpus versioning, expiration, and update policy.",Sprint-4,2026-04-10,todo
P1-012-C,P1-012,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI + Compliance","Add guideline corpus versioning, expiration, and update policy.",Sprint-5,2026-04-24,todo
P1-013-A,P1-013,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI","Expand drug safety coverage and explicitly label uncovered pairs.",Sprint-4,2026-04-10,todo
P1-013-B,P1-013,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI","Expand drug safety coverage and explicitly label uncovered pairs.",Sprint-5,2026-04-24,todo
P1-013-C,P1-013,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI","Expand drug safety coverage and explicitly label uncovered pairs.",Sprint-5,2026-04-24,todo
P1-014-A,P1-014,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI","Add clinical plausibility validation to calculator inputs.",Sprint-4,2026-04-10,todo
P1-014-B,P1-014,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI","Add clinical plausibility validation to calculator inputs.",Sprint-5,2026-04-24,todo
P1-014-C,P1-014,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI","Add clinical plausibility validation to calculator inputs.",Sprint-5,2026-04-24,todo
P1-015-A,P1-015,PLAN,P1,"WS-03 Clinical AI safety","Clinical AI + Product","Label differential diagnosis scores as ranking until calibrated.",Sprint-4,2026-04-10,todo
P1-015-B,P1-015,BUILD,P1,"WS-03 Clinical AI safety","Clinical AI + Product","Label differential diagnosis scores as ranking until calibrated.",Sprint-5,2026-04-24,todo
P1-015-C,P1-015,VERIFY,P1,"WS-03 Clinical AI safety","Clinical AI + Product","Label differential diagnosis scores as ranking until calibrated.",Sprint-5,2026-04-24,todo
P1-016-A,P1-016,PLAN,P1,"WS-04 Product trust UX","VP Product + CIO","Add explicit pilot policy for 77% accuracy classes by workflow.",Sprint-4,2026-04-10,todo
P1-016-B,P1-016,BUILD,P1,"WS-04 Product trust UX","VP Product + CIO","Add explicit pilot policy for 77% accuracy classes by workflow.",Sprint-5,2026-04-24,todo
